HELLO 9:35 

[ID0] SPY[M]  1 Min  #1			Formula Source Sheet #2.  Enter and modify formulas for this sheet on Sheet2
Date Time	[ID0.SG1] Open	[ID0.SG2] High	[ID0.SG3] Low	[ID0.SG4] Last	[ID0.SG5] Volume	[ID0.SG6] # of Trades				K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
2025-08-26  20:00:00	645.16	645.16	645.16	645.16	1	1
2025-08-26  19:59:00	645.78	645.78	645.71	645.71	10843	31
2025-08-26  19:58:00	645.78	645.78	645.78	645.78	200	1
2025-08-26  19:57:00	645.80	645.80	645.80	645.80	2000	7
2025-08-26  19:56:00	645.78	645.78	645.78	645.78	2000	6h
2025-08-26  19:54:00	645.72	645.74	645.72	645.74	599	4
2025-08-26  19:53:00	645.74	645.74	645.74	645.74	400	2
2025-08-26  19:51:00	645.72	645.72	645.71	645.71	1000	3
2025-08-26  19:50:00	645.72	645.72	645.70	645.71	600	6
2025-08-26  19:49:00	645.76	645.76	645.72	645.72	2198	8		Bid (read-only):	645.6799926757812
2025-08-26  19:48:00	645.78	645.78	645.76	645.78	1025	6		Bid Size (read-only):	15
2025-08-26  19:47:00	645.74	645.74	645.74	645.74	200	1		Ask (read-only):	645.739990234375
2025-08-26  19:46:00	645.79	645.79	645.79	645.79	700	2		Ask Size (read-only):	5
2025-08-26  19:45:00	645.79	645.80	645.78	645.80	500	3		Daily Open (read-only):	642.2000122070312
2025-08-26  19:43:00	645.82	645.83	645.80	645.80	1700	7		Daily High (read-only):	645.510009765625
2025-08-26  19:40:00	645.83	645.83	645.83	645.83	140	1		Daily Low (read-only):	641.5700073242188
2025-08-26  19:39:00	645.84	645.84	645.84	645.84	600	2		Daily Price Change (read-only):	2.69000244140625
2025-08-26  19:31:00	645.74	645.74	645.74	645.74	100	1		Daily Volume (read-only):	51581565
2025-08-26  19:28:00	645.70	645.70	645.70	645.70	200	1		Tick Size (read-only):	0.009999999776482582
2025-08-26  19:22:00	645.70	645.70	645.68	645.68	368	2
2025-08-26  19:17:00	645.68	645.68	645.68	645.68	198	1
2025-08-26  19:14:00	645.68	645.68	645.68	645.68	100	1
2025-08-26  19:13:00	645.73	645.73	645.73	645.73	100	1
2025-08-26  19:09:00	645.72	645.72	645.72	645.72	200	1
2025-08-26  19:04:00	645.73	645.74	645.73	645.74	2500	12
2025-08-26  19:03:00	645.76	645.76	645.76	645.76	100	1
2025-08-26  19:01:00	645.78	645.78	645.78	645.78	100	1
2025-08-26  19:00:00	645.75	645.75	645.71	645.71	400	3		Number of Rows (read-only):	1000
2025-08-26  18:59:00	645.71	645.75	645.71	645.75	400	2
2025-08-26  18:58:00	645.78	645.78	645.78	645.78	200	1
2025-08-26  18:55:00	645.81	645.81	645.81	645.81	150	1
2025-08-26  18:54:00	645.76	645.76	645.76	645.76	100	1
2025-08-26  18:49:00	645.75	645.75	645.74	645.74	1500	3
2025-08-26  18:45:00	645.75	645.75	645.75	645.75	127	1		Seconds Per Bar - Intraday (read-only):	60
